customer_id,recency,frequency,monetary,segment,acquisition_channel,cluster,segment_label
C000000,28,30,3899.7000000000003,Mid-Market,Paid Ads,3,Champions
C000001,15,25,3249.75,Mid-Market,Referral,3,Champions
C000002,26,23,1379.77,SMB,Paid Ads,0,Loyal
C000003,15,2,119.98,Mid-Market,Paid Ads,1,At Risk
C000004,221,17,509.83,SMB,Paid Ads,1,At Risk
C000005,774,6,179.94,SMB,Referral,2,Lost
C000006,720,3,179.97,SMB,Paid Ads,2,Lost
C000007,28,11,329.89,SMB,Partner,1,At Risk
C000008,8,9,539.91,SMB,Organic,1,At Risk
C000009,10,5,149.95,Mid-Market,Paid Ads,1,At Risk
C000010,846,4,519.96,Mid-Market,Referral,2,Lost
C000011,28,24,3119.76,Mid-Market,Organic,3,Champions
C000012,13,12,359.88,SMB,Referral,1,At Risk
C000013,8,33,1979.67,Enterprise,Organic,0,Loyal
C000014,220,11,659.89,SMB,Partner,1,At Risk
C000015,538,14,419.85999999999996,SMB,Organic,2,Lost
C000016,8,31,4029.6900000000005,Mid-Market,Paid Ads,3,Champions
C000017,16,27,1619.73,Mid-Market,Paid Ads,0,Loyal
C000018,5,36,4679.64,Enterprise,Partner,3,Champions
C000019,22,24,719.76,SMB,Organic,0,Loyal
C000020,27,5,649.95,Mid-Market,Organic,1,At Risk
C000021,192,4,239.96,SMB,Paid Ads,1,At Risk
C000022,22,7,419.93,SMB,Referral,1,At Risk
C000023,6,31,4029.6900000000005,Mid-Market,Paid Ads,3,Champions
C000024,20,28,1679.72,Enterprise,Paid Ads,0,Loyal
C000025,9,30,3899.7000000000003,SMB,Partner,3,Champions
C000026,18,23,2989.7700000000004,Mid-Market,Organic,3,Champions
C000027,41,31,1859.69,SMB,Organic,0,Loyal
C000028,14,21,1259.79,SMB,Organic,0,Loyal
C000029,27,4,119.96,Mid-Market,Paid Ads,1,At Risk
C000030,29,15,899.85,Mid-Market,Referral,1,At Risk
C000031,24,1,129.99,SMB,Referral,1,At Risk
